Date;Time;Volumetic_water_content;Soil_temperature;Electrical_conductivity
2023-10-08;14:04:13;0.352;9.800;126.000
2023-10-08;14:14:09;0.351;9.800;126.000
2023-10-08;14:24:10;0.351;9.800;126.000
2023-10-08;14:34:12;0.351;9.800;126.000
2023-10-08;14:44:11;0.352;9.800;125.000
2023-10-08;14:54:09;0.351;9.800;126.000
